"Símbolo","Seguridad","Presentación ante la SEC","Sector GICS","Sub-industria GICS","Ubicación de la sede","Fecha de incorporación","Clave de índice central","Fundada"
"A","Agilent Technologies","reports","Cuidado de Salud","Health Care Equipment","Santa Clara, California","36682",1090872,"1999"
"AAL","American Airlines Group","reports","Industriales","Aerolíneas","Fort Worth, Texas","42086",6201,"1934"
"AAP","Advance Auto Parts","reports","Consumo Discrecional","Automotive Retail","Raleigh, North Carolina","42194",1158449,"1932"
"AAPL","Apple Inc.","reports","Tecnología Informática","Tecnología Hardware, Almacenamiento & Periféricos","Cupertino, California","30285",320193,"1977"
"ABBV","AbbVie","reports","Cuidado de Salud","Farmacéuticos","North Chicago, Illinois","41274",1551152,"2013 (1888)"
"ABT","Abbott","reports","Cuidado de Salud","Health Care Equipment","North Chicago, Illinois","23467",1800,"1888"
"ACGL","Arch Capital Group","reports","Finanzas","Reinsurance","Hamilton, Bermuda","44866",947484,"1995"
"ACN","Accenture","reports","Tecnología Informática","Consultoría Informática y Otros Servicios","Dublin, Ireland","40730",1467373,"1989"
"ADBE","Adobe Inc.","reports","Tecnología Informática","Software de Aplicación","San Jose, California","35555",796343,"1982"
"ADI","Analog Devices","reports","Tecnología Informática","Semiconductores","Wilmington, Massachusetts","36445",6281,"1965"
"ADM","ADM","reports","Productos básicos","Productos Agrícolas","Chicago, Illinois","29796",7084,"1902"
"ADP","ADP","reports","Tecnología Informática","Procesamiento de Datos y Servicios Externalizados","Roseland, New Jersey","29676",8670,"1949"
"ADSK","Autodesk","reports","Tecnología Informática","Software de Aplicación","San Francisco, California","32843",769397,"1982"
"AEE","Ameren","reports","Utilidades","Multi-Utilities","St. Louis, Missouri","33500",1002910,"1902"
"AEP","American Electric Power","reports","Utilidades","Electric Utilities","Columbus, Ohio","20883",4904,"1906"
"AES","AES Corporation","reports","Utilidades","Independent Power Producers & Energy Traders","Arlington, Virginia","36070",874761,"1981"
"AFL","Aflac","reports","Finanzas","Life & Health Insurance","Columbus, Georgia","36308",4977,"1955"
"AIG","American International Group","reports","Finanzas","Property & Casualty Insurance","New York City, New York","29311",5272,"1919"
"AIZ","Assurant","reports","Finanzas","Multi-line Insurance","New York City, New York","39182",1267238,"1892"
"AJG","Arthur J. Gallagher & Co.","reports","Finanzas","Insurance Brokers","Rolling Meadows, Illinois","42521",354190,"1927"
"AKAM","Akamai","reports","Tecnología Informática","Servicios y Infraestructura de Internet","Cambridge, Massachusetts","39275",1086222,"1998"
"ALB","Albemarle Corporation","reports","Materiales","Químicos Especiales","Charlotte, North Carolina","42552",915913,"1994"
"ALGN","Align Technology","reports","Cuidado de Salud","Health Care Supplies","Tempe, Arizona","42905",1097149,"1997"
"ALK","Alaska Air Group","reports","Industriales","Aerolíneas","SeaTac, Washington","42503",766421,"1985"
"ALL","Allstate","reports","Finanzas","Property & Casualty Insurance","Northfield Township, Illinois","34893",899051,"1931"
"ALLE","Allegion","reports","Industriales","Productos de Edificio","New York City, New York","41610",1579241,"1908"
"AMAT","Applied Materials","reports","Tecnología Informática","Equipo de Semiconductores","Santa Clara, California","34774",6951,"1967"
"AMCR","Amcor","reports","Materiales","Empaquetado de Papel","Warmley, Bristol, United Kingdom","43623",1748790,"2019 (1860)"
"AMD","AMD","reports","Tecnología Informática","Semiconductores","Santa Clara, California","42814",2488,"1969"
"AME","Ametek","reports","Industriales","Componentes y Equipo Eléctrico","Berwyn, Pennsylvania","41540",1037868,"1930"
"AMGN","Amgen","reports","Cuidado de Salud","Biotecnología","Thousand Oaks, California","33605",318154,"1980"
"AMP","Ameriprise Financial","reports","Finanzas","Asset Management & Custody Banks","Minneapolis, Minnesota","38628",820027,"1894"
"AMT","American Tower","reports","Bienes Raíces","Specialized REITs","Boston, Massachusetts","39405",1053507,"1995"
"AMZN","Amazon","reports","Consumo Discrecional","Internet & Direct Marketing Retail","Seattle, Washington","38674",1018724,"1994"
"ANET","Arista Networks","reports","Tecnología Informática","Equipo de Comunicación","Santa Clara, California","43340",1596532,"2004"
"ANSS","Ansys","reports","Tecnología Informática","Software de Aplicación","Canonsburg, Pennsylvania","42905",1013462,"1969"
"AON","Aon","reports","Finanzas","Insurance Brokers","London, UK","35178",315293,"1982 (1919)"
"AOS","A. O. Smith","reports","Industriales","Productos de Edificio","Milwaukee, Wisconsin","42942",91142,"1916"
"APA","APA Corporation","reports","Energía","Oil & Gas Exploration & Production","Houston, Texas","35639",1841666,"1954"
"APD","Air Products and Chemicals","reports","Materiales","Gases Industriales","Allentown, Pensilvania","31167",2969,"1940"
"APH","Amphenol","reports","Tecnología Informática","Componentes Electrónicos","Wallingford, Connecticut","39721",820313,"1932"
"APTV","Aptiv","reports","Consumo Discrecional","Auto Parts & Equipment","Dublin, Ireland","41267",1521332,"1994"
"ARE","Alexandria Real Estate Equities","reports","Bienes Raíces","Office REITs","Pasadena, California","42814",1035443,"1994"
"ATO","Atmos Energy","reports","Utilidades","Gas Utilities","Dallas, Texas","43511",731802,"1906"
"AVB","AvalonBay Communities","reports","Bienes Raíces","Residential REITs","Arlington, Virginia","39092",915912,"1978"
"AVGO","Broadcom Inc.","reports","Tecnología Informática","Semiconductores","San Jose, California","41767",1730168,"1961"
"AVY","Avery Dennison","reports","Materiales","Empaquetado de Papel","Glendale, California","32142",8818,"1990"
"AWK","American Water Works","reports","Utilidades","Water Utilities","Camden, New Jersey","42433",1410636,"1886"
"AXP","American Express","reports","Finanzas","Consumer Finance","New York City, New York","27941",4962,"1850"
"AZO","AutoZone","reports","Consumo Discrecional","Specialty Stores","Memphis, Tennessee","35432",866787,"1979"
"BA","Boeing","reports","Industriales","Aeroespacial y Defensa","Chicago, Illinois","20883",12927,"1916"
"BAC","Bank of America","reports","Finanzas","Diversified Banks","Charlotte, North Carolina","27941",70858,"1998 (1923 / 1874)"
"BALL","Ball Corporation","reports","Materiales","Contenedores de Metal y Vidrio","Broomfield, Colorado","30986",9389,"1880"
"BAX","Baxter International","reports","Cuidado de Salud","Health Care Equipment","Deerfield, Illinois","26572",10456,"1931"
"BBWI","Bath & Body Works, Inc.","reports","Consumo Discrecional","Specialty Stores","Columbus, Ohio","30589",701985,"1963"
"BBY","Best Buy","reports","Consumo Discrecional","Computer & Electronics Retail","Richfield, Minnesota","36340",764478,"1966"
"BDX","Becton Dickinson","reports","Cuidado de Salud","Health Care Equipment","Franklin Lakes, New Jersey","26572",10795,"1897"
"BEN","Franklin Templeton","reports","Finanzas","Asset Management & Custody Banks","San Mateo, California",NA,38777,"1947"
"BF-B","Brown–Forman","reports","Productos básicos","Destiladores y Viticultores","Louisville, Kentucky","30255",14693,"1870"
"BIIB","Biogen","reports","Cuidado de Salud","Biotecnología","Cambridge, Massachusetts","37938",875045,"1978"
"BIO","Bio-Rad","reports","Cuidado de Salud","Life Sciences Tools & Services","Hercules, California","44004",12208,"1952"
"BK","BNY Mellon","reports","Finanzas","Asset Management & Custody Banks","New York City, New York","34789",1390777,"1784"
